year,selling_price,km_driven,fuel,transmission,owner,brand,brand_model
2007,60000.0,70000.0,Petrol,manual,,maruti,maruti 800
2007,135000.0,50000.0,Petrol,manual,,maruti,maruti wagon
2012,600000.0,100000.0,Diesel,manual,,hyundai,hyundai verna
2017,250000.0,46000.0,Petrol,manual,,datsun,datsun redigo
2014,450000.0,141000.0,Diesel,manual,,honda,honda amaze
2007,140000.0,125000.0,Petrol,manual,,maruti,maruti alto
2016,550000.0,25000.0,Petrol,manual,,hyundai,hyundai xcent
2014,240000.0,60000.0,Petrol,manual,,tata,tata indigo
2015,850000.0,25000.0,Petrol,manual,,hyundai,hyundai creta
2017,365000.0,78000.0,CNG,manual,,maruti,maruti celerio
2015,260000.0,35000.0,Petrol,manual,,chevrolet,chevrolet sail
2014,250000.0,100000.0,Petrol,manual,,tata,tata indigo
2018,1650000.0,25000.0,Petrol,automatic,,toyota,toyota corolla
2015,585000.0,24000.0,Petrol,manual,,maruti,maruti ciaz
2019,1195000.0,5000.0,Diesel,manual,,hyundai,hyundai venue
2013,390000.0,33000.0,Diesel,manual,,chevrolet,chevrolet enjoy
2014,1964999.0,28000.0,Diesel,automatic,,jaguar,jaguar xf
2013,1425000.0,59000.0,Diesel,automatic,,mercedes-benz,mercedes-benz new
2018,975000.0,4500.0,Diesel,automatic,,maruti,maruti vitara
2011,1190000.0,175900.0,Diesel,automatic,,audi,audi q5
2018,930000.0,14500.0,Petrol,manual,,honda,honda city
2018,525000.0,15000.0,Petrol,manual,,tata,tata tigor
2013,1735000.0,50000.0,Diesel,automatic,,audi,audi a6
2012,1375000.0,33800.0,Diesel,automatic,,mercedes-benz,mercedes-benz new
2011,450000.0,130400.0,Diesel,automatic,,skoda,skoda superb
2016,900000.0,50000.0,Petrol,automatic,,toyota,toyota corolla
2015,1300000.0,80000.0,Diesel,manual,,toyota,toyota innova
2019,1400000.0,10000.0,Petrol,manual,,jeep,jeep compass
2010,850000.0,119000.0,Petrol,automatic,,mercedes-benz,mercedes-benz e-class
2014,229999.0,60000.0,Petrol,manual,,hyundai,hyundai i10
2013,1550000.0,75800.0,Diesel,automatic,,bmw,bmw 3
2009,1250000.0,78000.0,Diesel,automatic,,audi,audi q7
2012,625000.0,40000.0,Diesel,manual,,hyundai,hyundai elantra
2014,1050000.0,50000.0,Diesel,manual,,mahindra,mahindra scorpio
2014,560000.0,74000.0,Diesel,manual,,honda,honda city
2014,290000.0,64000.0,Petrol,manual,,maruti,maruti wagon
2012,275000.0,60000.0,Petrol,manual,,maruti,maruti wagon
2009,411000.0,120000.0,Diesel,manual,,mahindra,mahindra scorpio
2009,150000.0,79000.0,Petrol,manual,,hyundai,hyundai santro
2019,500000.0,15000.0,Petrol,manual,,hyundai,hyundai grand
2006,100000.0,80000.0,Petrol,manual,,maruti,maruti alto
2017,725000.0,18500.0,Diesel,manual,,maruti,maruti swift
2018,401000.0,10200.0,Petrol,manual,,maruti,maruti eeco
2018,750000.0,29000.0,Diesel,manual,,hyundai,hyundai i20
2018,310000.0,28000.0,Petrol,manual,,maruti,maruti omni
2016,665000.0,46000.0,Diesel,manual,,maruti,maruti swift
2014,465000.0,70000.0,Diesel,manual,,hyundai,hyundai i20
2012,160000.0,60000.0,Petrol,manual,,maruti,maruti alto
1996,250000.0,35000.0,Diesel,manual,,mahindra,mahindra jeep
2014,675000.0,90000.0,Diesel,manual,,honda,honda city
2013,300000.0,80000.0,Petrol,manual,,maruti,maruti wagon
2005,70000.0,80000.0,Diesel,manual,,tata,tata indica
2014,240000.0,73300.0,Petrol,manual,,hyundai,hyundai eon
2014,525000.0,92000.0,Diesel,manual,,toyota,toyota etios
2009,151000.0,66764.0,Petrol,manual,,maruti,maruti alto
2009,140000.0,100000.0,Petrol,manual,,maruti,maruti alto
2010,280000.0,350000.0,Diesel,manual,,chevrolet,chevrolet tavera
2011,350000.0,230000.0,Diesel,manual,,toyota,toyota corolla
2017,570000.0,60000.0,Diesel,manual,,mahindra,mahindra scorpio
2018,300000.0,31000.0,Petrol,manual,,hyundai,hyundai eon
2007,100000.0,39000.0,Diesel,manual,,tata,tata indigo
2009,500000.0,120000.0,Diesel,manual,,toyota,toyota innova
2014,125000.0,166000.0,Diesel,manual,,tata,tata indica
2006,130000.0,110000.0,Petrol,manual,,maruti,maruti swift
2017,925000.0,35000.0,Diesel,manual,,ford,ford ecosport
2018,750000.0,60000.0,Diesel,manual,,maruti,maruti ciaz
2007,200000.0,54000.0,Petrol,automatic,,honda,honda civic
2010,248000.0,63000.0,Petrol,manual,,hyundai,hyundai i10
2014,450000.0,120000.0,Diesel,manual,,skoda,skoda rapid
2005,80000.0,120000.0,Petrol,manual,,hyundai,hyundai getz
2014,650000.0,76000.0,Petrol,manual,,nissan,nissan terrano
2015,450000.0,80000.0,Diesel,manual,,hyundai,hyundai grand
2019,650000.0,25000.0,Diesel,manual,,hyundai,hyundai elite
2016,495000.0,11958.0,Petrol,manual,,honda,honda amaze
2015,371000.0,20000.0,Petrol,manual,,honda,honda brio
2017,1025000.0,9000.0,Petrol,manual,,hyundai,hyundai creta
2017,8150000.0,6500.0,Diesel,automatic,,mercedes-benz,mercedes-benz s-class
2015,750000.0,70000.0,Diesel,manual,,mahindra,mahindra xuv500
2013,600000.0,120000.0,Diesel,manual,,renault,renault duster
2007,80000.0,58000.0,Petrol,manual,,hyundai,hyundai santro
2013,325000.0,62200.0,Diesel,manual,,mahindra,mahindra bolero
2014,1470000.0,34000.0,Diesel,automatic,,audi,audi a6
2015,350000.0,53000.0,Diesel,manual,,fiat,fiat avventura
2013,2800000.0,49000.0,Diesel,automatic,,audi,audi a8
2017,210000.0,15000.0,Petrol,manual,,datsun,datsun redigo
2013,450000.0,50000.0,Petrol,manual,,volkswagen,volkswagen jetta
2013,1150000.0,53000.0,Diesel,automatic,,audi,audi a4
2009,210000.0,63500.0,Petrol,automatic,,honda,honda civic
2018,4500000.0,9800.0,Petrol,automatic,,mercedes-benz,mercedes-benz e-class
2017,2750000.0,13000.0,Diesel,automatic,,bmw,bmw x1
2018,1975000.0,21000.0,Diesel,automatic,,volvo,volvo v40
2008,175000.0,29173.0,Petrol,manual,,maruti,maruti sx4
2012,2500000.0,48000.0,Diesel,automatic,,bmw,bmw 7
2017,628000.0,120000.0,Diesel,manual,,mahindra,mahindra bolero
2010,600000.0,100000.0,Diesel,manual,,hyundai,hyundai sonata
2017,399000.0,30000.0,Petrol,manual,,nissan,nissan micra
2018,750000.0,87000.0,Diesel,manual,,mahindra,mahindra xylo
2019,750000.0,15000.0,Petrol,manual,,hyundai,hyundai elite
2017,315000.0,16000.0,Petrol,manual,,renault,renault kwid
2012,600000.0,60000.0,Diesel,manual,,mahindra,mahindra xylo
2010,100000.0,60000.0,Petrol,manual,,maruti,maruti wagon
2011,250000.0,110000.0,Petrol,manual,,maruti,maruti sx4
2017,350000.0,25000.0,Petrol,manual,,renault,renault kwid
2016,780000.0,60000.0,Diesel,manual,,hyundai,hyundai creta
2014,434000.0,79350.0,Diesel,manual,,maruti,maruti swift
2016,690000.0,80000.0,Petrol,automatic,,hyundai,hyundai verna
2014,555000.0,90000.0,Diesel,manual,,mahindra,mahindra scorpio
2007,120000.0,90000.0,Petrol,manual,,maruti,maruti sx4
2014,500000.0,120000.0,Diesel,manual,,maruti,maruti ertiga
2013,165000.0,60000.0,Diesel,manual,,chevrolet,chevrolet beat
2004,95000.0,50000.0,Petrol,manual,,maruti,maruti zen
2018,550000.0,20000.0,Petrol,manual,,maruti,maruti baleno
2007,100000.0,110000.0,Diesel,manual,,maruti,maruti swift
2012,100000.0,50000.0,Petrol,manual,,tata,tata nano
2012,500000.0,100000.0,Diesel,manual,,toyota,toyota innova
2016,800000.0,70000.0,Diesel,manual,,maruti,maruti ertiga
2016,840000.0,70000.0,Diesel,manual,,hyundai,hyundai creta
2016,490000.0,50000.0,Petrol,manual,,honda,honda amaze
2010,125000.0,81000.0,Diesel,manual,,tata,tata indica
2012,400000.0,120000.0,Diesel,manual,,chevrolet,chevrolet tavera
2015,1000000.0,3600.0,Diesel,manual,,chevrolet,chevrolet cruze
2015,530000.0,14272.0,Petrol,manual,,ford,ford figo
2017,840000.0,49213.0,Diesel,manual,,ford,ford ecosport
2015,229999.0,40000.0,Petrol,manual,,hyundai,hyundai i10
1998,40000.0,40000.0,Petrol,manual,,maruti,maruti 800
2012,130000.0,80000.0,Petrol,manual,,chevrolet,chevrolet spark
2015,200000.0,70000.0,Petrol,manual,,hyundai,hyundai eon
2011,120000.0,70000.0,Diesel,manual,,tata,tata indica
2003,75000.0,57000.0,Petrol,manual,,hyundai,hyundai santro
2016,250000.0,120000.0,Diesel,manual,,tata,tata bolt
2005,100000.0,30000.0,Petrol,manual,,maruti,maruti 800
2013,280000.0,3240.0,Petrol,manual,,hyundai,hyundai eon
2015,540000.0,5000.0,Petrol,manual,,hyundai,hyundai i20
2018,700000.0,10000.0,Petrol,manual,,hyundai,hyundai i20
2015,525000.0,100000.0,Diesel,manual,,maruti,maruti ciaz
2016,430000.0,80000.0,Diesel,manual,,hyundai,hyundai i20
2002,65000.0,70000.0,Petrol,manual,,hyundai,hyundai santro
2018,800000.0,35000.0,Diesel,manual,,maruti,maruti vitara
2007,75000.0,114000.0,Petrol,manual,,hyundai,hyundai santro
2008,210000.0,53772.0,Petrol,manual,,hyundai,hyundai getz
2012,195000.0,140000.0,Diesel,manual,,mahindra,mahindra quanto
2015,400000.0,120000.0,Diesel,manual,,chevrolet,chevrolet tavera
2012,170000.0,60000.0,Petrol,manual,,hyundai,hyundai eon
2016,225000.0,25000.0,Petrol,manual,,renault,renault kwid
2014,210000.0,90000.0,LPG,manual,,maruti,maruti wagon
2020,240000.0,120000.0,Petrol,manual,,maruti,maruti wagon
2015,300000.0,175000.0,Diesel,manual,,chevrolet,chevrolet enjoy
2011,99000.0,100000.0,Petrol,manual,,chevrolet,chevrolet spark
2014,620000.0,36000.0,Petrol,manual,,honda,honda city
2013,500000.0,30000.0,Diesel,manual,,honda,honda amaze
2010,2550000.0,40000.0,Petrol,automatic,,jaguar,jaguar xj
2013,260000.0,70000.0,Petrol,manual,,honda,honda brio
2017,550000.0,60000.0,Petrol,manual,,maruti,maruti swift
2011,150000.0,155500.0,Diesel,manual,,tata,tata indigo
2011,350000.0,50000.0,Petrol,automatic,,hyundai,hyundai i10
2016,320000.0,40000.0,Petrol,manual,,chevrolet,chevrolet beat
2015,400000.0,100000.0,Diesel,manual,,maruti,maruti swift
2012,175000.0,80000.0,Petrol,manual,,maruti,maruti alto
2011,120000.0,90000.0,Petrol,manual,,chevrolet,chevrolet beat
2013,320000.0,90000.0,Diesel,manual,,renault,renault duster
2006,70000.0,110000.0,Petrol,manual,,hyundai,hyundai santro
2019,810000.0,15000.0,Petrol,manual,,maruti,maruti swift
2007,95000.0,100000.0,Petrol,manual,,maruti,maruti 800
2020,282000.0,40000.0,CNG,manual,,maruti,maruti alto
