year,selling_price,km_driven,fuel,transmission,owner,brand,brand_model
2007,60000.0,70000.0,Petrol,manual,1,maruti,maruti 800
2007,135000.0,50000.0,Petrol,manual,1,maruti,maruti wagon
2012,600000.0,100000.0,Diesel,manual,1,hyundai,hyundai verna
2017,250000.0,46000.0,Petrol,manual,1,datsun,datsun redigo
2014,450000.0,141000.0,Diesel,manual,1,honda,honda amaze
2007,140000.0,125000.0,Petrol,manual,1,maruti,maruti alto
2016,550000.0,25000.0,Petrol,manual,1,hyundai,hyundai xcent
2014,240000.0,60000.0,Petrol,manual,1,tata,tata indigo
2015,850000.0,25000.0,Petrol,manual,1,hyundai,hyundai creta
2017,365000.0,78000.0,Cng,manual,1,maruti,maruti celerio
2015,260000.0,35000.0,Petrol,manual,1,chevrolet,chevrolet sail
2014,250000.0,100000.0,Petrol,manual,1,tata,tata indigo
2015,585000.0,24000.0,Petrol,manual,1,maruti,maruti ciaz
2019,1195000.0,5000.0,Diesel,manual,1,hyundai,hyundai venue
2013,390000.0,33000.0,Diesel,manual,1,chevrolet,chevrolet enjoy
2013,1425000.0,59000.0,Diesel,automatic,1,mercedes-benz,mercedes-benz new
2018,975000.0,4500.0,Diesel,automatic,1,maruti,maruti vitara
2011,1190000.0,175900.0,Diesel,automatic,1,audi,audi q5
2018,930000.0,14500.0,Petrol,manual,1,honda,honda city
2018,525000.0,15000.0,Petrol,manual,1,tata,tata tigor
2012,1375000.0,33800.0,Diesel,automatic,1,mercedes-benz,mercedes-benz new
2011,450000.0,130400.0,Diesel,automatic,1,skoda,skoda superb
2016,900000.0,50000.0,Petrol,automatic,1,toyota,toyota corolla
2015,1300000.0,80000.0,Diesel,manual,1,toyota,toyota innova
2019,1400000.0,10000.0,Petrol,manual,1,jeep,jeep compass
2010,850000.0,119000.0,Petrol,automatic,1,mercedes-benz,mercedes-benz e-class
2014,229999.0,60000.0,Petrol,manual,1,hyundai,hyundai i10
2009,1250000.0,78000.0,Diesel,automatic,1,audi,audi q7
2012,625000.0,40000.0,Diesel,manual,1,hyundai,hyundai elantra
2014,1050000.0,50000.0,Diesel,manual,1,mahindra,mahindra scorpio
2014,560000.0,74000.0,Diesel,manual,1,honda,honda city
2014,290000.0,64000.0,Petrol,manual,1,maruti,maruti wagon
2012,275000.0,60000.0,Petrol,manual,1,maruti,maruti wagon
2009,411000.0,120000.0,Diesel,manual,1,mahindra,mahindra scorpio
2009,150000.0,79000.0,Petrol,manual,1,hyundai,hyundai santro
2019,500000.0,15000.0,Petrol,manual,1,hyundai,hyundai grand
2006,100000.0,80000.0,Petrol,manual,1,maruti,maruti alto
2017,725000.0,18500.0,Diesel,manual,1,maruti,maruti swift
2018,401000.0,10200.0,Petrol,manual,1,maruti,maruti eeco
2018,750000.0,29000.0,Diesel,manual,1,hyundai,hyundai i20
2018,310000.0,28000.0,Petrol,manual,1,maruti,maruti omni
2016,665000.0,46000.0,Diesel,manual,1,maruti,maruti swift
2014,465000.0,70000.0,Diesel,manual,1,hyundai,hyundai i20
2012,160000.0,60000.0,Petrol,manual,1,maruti,maruti alto
1996,250000.0,35000.0,Diesel,manual,1,mahindra,mahindra jeep
2014,675000.0,90000.0,Diesel,manual,1,honda,honda city
2013,300000.0,80000.0,Petrol,manual,1,maruti,maruti wagon
2005,70000.0,80000.0,Diesel,manual,1,tata,tata indica
2014,240000.0,73300.0,Petrol,manual,1,hyundai,hyundai eon
2014,525000.0,92000.0,Diesel,manual,1,toyota,toyota etios
2009,151000.0,66764.0,Petrol,manual,1,maruti,maruti alto
2009,140000.0,100000.0,Petrol,manual,1,maruti,maruti alto
2010,280000.0,350000.0,Diesel,manual,1,chevrolet,chevrolet tavera
2011,350000.0,230000.0,Diesel,manual,1,toyota,toyota corolla
2017,570000.0,60000.0,Diesel,manual,1,mahindra,mahindra scorpio
2018,300000.0,31000.0,Petrol,manual,1,hyundai,hyundai eon
2007,100000.0,39000.0,Diesel,manual,1,tata,tata indigo
2009,500000.0,120000.0,Diesel,manual,1,toyota,toyota innova
2014,125000.0,166000.0,Diesel,manual,1,tata,tata indica
2006,130000.0,110000.0,Petrol,manual,1,maruti,maruti swift
2017,925000.0,35000.0,Diesel,manual,1,ford,ford ecosport
2018,750000.0,60000.0,Diesel,manual,1,maruti,maruti ciaz
2007,200000.0,54000.0,Petrol,automatic,1,honda,honda civic
2010,248000.0,63000.0,Petrol,manual,1,hyundai,hyundai i10
2014,450000.0,120000.0,Diesel,manual,1,skoda,skoda rapid
2005,80000.0,120000.0,Petrol,manual,1,hyundai,hyundai getz
2014,650000.0,76000.0,Petrol,manual,1,nissan,nissan terrano
2015,450000.0,80000.0,Diesel,manual,1,hyundai,hyundai grand
2019,650000.0,25000.0,Diesel,manual,1,hyundai,hyundai elite
2016,495000.0,11958.0,Petrol,manual,1,honda,honda amaze
2015,371000.0,20000.0,Petrol,manual,1,honda,honda brio
2017,1025000.0,9000.0,Petrol,manual,1,hyundai,hyundai creta
2015,750000.0,70000.0,Diesel,manual,1,mahindra,mahindra xuv500
2013,600000.0,120000.0,Diesel,manual,1,renault,renault duster
2007,80000.0,58000.0,Petrol,manual,1,hyundai,hyundai santro
2013,325000.0,62200.0,Diesel,manual,1,mahindra,mahindra bolero
2014,1470000.0,34000.0,Diesel,automatic,1,audi,audi a6
2015,350000.0,53000.0,Diesel,manual,1,fiat,fiat avventura
2017,210000.0,15000.0,Petrol,manual,1,datsun,datsun redigo
2013,450000.0,50000.0,Petrol,manual,1,volkswagen,volkswagen jetta
2013,1150000.0,53000.0,Diesel,automatic,1,audi,audi a4
2009,210000.0,63500.0,Petrol,automatic,1,honda,honda civic
2008,175000.0,29173.0,Petrol,manual,1,maruti,maruti sx4
2017,628000.0,120000.0,Diesel,manual,1,mahindra,mahindra bolero
2010,600000.0,100000.0,Diesel,manual,1,hyundai,hyundai sonata
2017,399000.0,30000.0,Petrol,manual,1,nissan,nissan micra
2018,750000.0,87000.0,Diesel,manual,1,mahindra,mahindra xylo
2019,750000.0,15000.0,Petrol,manual,1,hyundai,hyundai elite
2017,315000.0,16000.0,Petrol,manual,1,renault,renault kwid
2012,600000.0,60000.0,Diesel,manual,1,mahindra,mahindra xylo
2010,100000.0,60000.0,Petrol,manual,1,maruti,maruti wagon
2011,250000.0,110000.0,Petrol,manual,1,maruti,maruti sx4
2017,350000.0,25000.0,Petrol,manual,1,renault,renault kwid
2016,780000.0,60000.0,Diesel,manual,1,hyundai,hyundai creta
2014,434000.0,79350.0,Diesel,manual,1,maruti,maruti swift
2016,690000.0,80000.0,Petrol,automatic,1,hyundai,hyundai verna
2014,555000.0,90000.0,Diesel,manual,1,mahindra,mahindra scorpio
2007,120000.0,90000.0,Petrol,manual,1,maruti,maruti sx4
2014,500000.0,120000.0,Diesel,manual,1,maruti,maruti ertiga
2013,165000.0,60000.0,Diesel,manual,1,chevrolet,chevrolet beat
2004,95000.0,50000.0,Petrol,manual,1,maruti,maruti zen
2018,550000.0,20000.0,Petrol,manual,1,maruti,maruti baleno
2007,100000.0,110000.0,Diesel,manual,1,maruti,maruti swift
2012,100000.0,50000.0,Petrol,manual,1,tata,tata nano
2012,500000.0,100000.0,Diesel,manual,1,toyota,toyota innova
2016,800000.0,70000.0,Diesel,manual,1,maruti,maruti ertiga
2016,840000.0,70000.0,Diesel,manual,1,hyundai,hyundai creta
2016,490000.0,50000.0,Petrol,manual,1,honda,honda amaze
2010,125000.0,81000.0,Diesel,manual,1,tata,tata indica
2012,400000.0,120000.0,Diesel,manual,1,chevrolet,chevrolet tavera
2015,1000000.0,3600.0,Diesel,manual,1,chevrolet,chevrolet cruze
2015,530000.0,14272.0,Petrol,manual,1,ford,ford figo
2017,840000.0,49213.0,Diesel,manual,1,ford,ford ecosport
2015,229999.0,40000.0,Petrol,manual,1,hyundai,hyundai i10
1998,40000.0,40000.0,Petrol,manual,1,maruti,maruti 800
2012,130000.0,80000.0,Petrol,manual,1,chevrolet,chevrolet spark
2015,200000.0,70000.0,Petrol,manual,1,hyundai,hyundai eon
2011,120000.0,70000.0,Diesel,manual,1,tata,tata indica
2003,75000.0,57000.0,Petrol,manual,1,hyundai,hyundai santro
2016,250000.0,120000.0,Diesel,manual,1,tata,tata bolt
2005,100000.0,30000.0,Petrol,manual,1,maruti,maruti 800
2013,280000.0,3240.0,Petrol,manual,1,hyundai,hyundai eon
2015,540000.0,5000.0,Petrol,manual,1,hyundai,hyundai i20
2018,700000.0,10000.0,Petrol,manual,1,hyundai,hyundai i20
2015,525000.0,100000.0,Diesel,manual,1,maruti,maruti ciaz
2016,430000.0,80000.0,Diesel,manual,1,hyundai,hyundai i20
2002,65000.0,70000.0,Petrol,manual,1,hyundai,hyundai santro
2018,800000.0,35000.0,Diesel,manual,1,maruti,maruti vitara
2007,75000.0,114000.0,Petrol,manual,1,hyundai,hyundai santro
2008,210000.0,53772.0,Petrol,manual,1,hyundai,hyundai getz
2012,195000.0,140000.0,Diesel,manual,1,mahindra,mahindra quanto
2015,400000.0,120000.0,Diesel,manual,1,chevrolet,chevrolet tavera
2012,170000.0,60000.0,Petrol,manual,1,hyundai,hyundai eon
2016,225000.0,25000.0,Petrol,manual,1,renault,renault kwid
2014,210000.0,90000.0,Lpg,manual,1,maruti,maruti wagon
2020,240000.0,120000.0,Petrol,manual,1,maruti,maruti wagon
2015,300000.0,175000.0,Diesel,manual,1,chevrolet,chevrolet enjoy
2011,99000.0,100000.0,Petrol,manual,1,chevrolet,chevrolet spark
2014,620000.0,36000.0,Petrol,manual,1,honda,honda city
2013,500000.0,30000.0,Diesel,manual,1,honda,honda amaze
2013,260000.0,70000.0,Petrol,manual,1,honda,honda brio
2017,550000.0,60000.0,Petrol,manual,1,maruti,maruti swift
2011,150000.0,155500.0,Diesel,manual,1,tata,tata indigo
2011,350000.0,50000.0,Petrol,automatic,1,hyundai,hyundai i10
2016,320000.0,40000.0,Petrol,manual,1,chevrolet,chevrolet beat
2015,400000.0,100000.0,Diesel,manual,1,maruti,maruti swift
2012,175000.0,80000.0,Petrol,manual,1,maruti,maruti alto
2011,120000.0,90000.0,Petrol,manual,1,chevrolet,chevrolet beat
2013,320000.0,90000.0,Diesel,manual,1,renault,renault duster
2006,70000.0,110000.0,Petrol,manual,1,hyundai,hyundai santro
2019,810000.0,15000.0,Petrol,manual,1,maruti,maruti swift
2007,95000.0,100000.0,Petrol,manual,1,maruti,maruti 800
2020,282000.0,40000.0,Cng,manual,1,maruti,maruti alto
2004,80000.0,60000.0,Petrol,manual,1,maruti,maruti 800
2013,72000.0,25000.0,Petrol,manual,1,tata,tata nano
2016,600000.0,25000.0,Petrol,manual,1,hyundai,hyundai i20
2015,640000.0,23000.0,Petrol,manual,1,skoda,skoda rapid
2018,380000.0,22155.0,Petrol,manual,1,maruti,maruti alto
2018,650000.0,70000.0,Petrol,manual,1,maruti,maruti ciaz
2009,150000.0,60000.0,Petrol,manual,1,maruti,maruti alto
2009,280000.0,110000.0,Petrol,manual,1,hyundai,hyundai i20
2018,430000.0,30000.0,Petrol,manual,1,tata,tata nexon
2019,800000.0,15000.0,Diesel,manual,1,mahindra,mahindra bolero
2003,75000.0,100000.0,Diesel,manual,1,maruti,maruti zen
2016,650000.0,70000.0,Diesel,automatic,1,volkswagen,volkswagen vento
2017,390000.0,24000.0,Petrol,manual,1,maruti,maruti eeco
2005,100000.0,120000.0,Petrol,manual,1,honda,honda city
2007,175000.0,78380.0,Petrol,manual,1,maruti,maruti sx4
2012,434999.0,110000.0,Diesel,manual,1,renault,renault duster
2010,170000.0,90000.0,Diesel,manual,1,ford,ford figo
2011,190000.0,90000.0,Diesel,manual,1,ford,ford figo
2009,250000.0,150000.0,Diesel,manual,1,maruti,maruti swift
2009,229999.0,230000.0,Diesel,manual,1,mahindra,mahindra xylo
2006,140000.0,70000.0,Petrol,manual,1,maruti,maruti esteem
2017,600000.0,80362.0,Diesel,manual,1,maruti,maruti swift
2012,280000.0,110000.0,Petrol,manual,1,hyundai,hyundai i20
2012,150000.0,60000.0,Diesel,manual,1,chevrolet,chevrolet beat
2015,650000.0,50000.0,Diesel,automatic,1,chevrolet,chevrolet cruze
2014,210000.0,40000.0,Petrol,manual,1,nissan,nissan micra
2013,425000.0,20000.0,Diesel,manual,1,chevrolet,chevrolet enjoy
2014,265000.0,55000.0,Petrol,manual,1,hyundai,hyundai eon
2013,365000.0,55000.0,Petrol,manual,1,renault,renault scala
2014,350000.0,43000.0,Petrol,manual,1,ford,ford figo
2016,685000.0,60000.0,Diesel,manual,1,maruti,maruti ciaz
2017,1000000.0,40000.0,Diesel,manual,1,mahindra,mahindra xuv500
2019,1150000.0,15000.0,Petrol,manual,1,mahindra,mahindra xuv300
2016,450000.0,115962.0,Diesel,manual,1,maruti,maruti ertiga
2015,590000.0,65000.0,Diesel,manual,1,nissan,nissan terrano
2017,800000.0,40000.0,Diesel,manual,1,maruti,maruti s-cross
2012,385000.0,58000.0,Diesel,manual,1,hyundai,hyundai i20
2012,235000.0,54000.0,Petrol,manual,1,hyundai,hyundai eon
2017,640000.0,56000.0,Diesel,manual,1,volkswagen,volkswagen ameo
2006,52000.0,120000.0,Petrol,manual,1,maruti,maruti alto
2009,80000.0,90000.0,Lpg,manual,1,maruti,maruti omni
2012,140000.0,70000.0,Petrol,manual,1,maruti,maruti alto
2008,120000.0,90000.0,Petrol,manual,1,hyundai,hyundai verna
2008,89999.0,213000.0,Diesel,manual,1,mahindra,mahindra renault
2012,180000.0,120000.0,Diesel,manual,1,chevrolet,chevrolet optra
2017,700000.0,10000.0,Petrol,manual,1,hyundai,hyundai i20
2012,285000.0,80000.0,Diesel,manual,1,maruti,maruti sx4
2015,390000.0,90000.0,Petrol,manual,1,hyundai,hyundai grand
2008,125000.0,80000.0,Petrol,manual,1,maruti,maruti alto
2008,225000.0,60000.0,Petrol,manual,1,maruti,maruti sx4
2011,175000.0,139000.0,Petrol,manual,1,hyundai,hyundai i10
2011,1075000.0,160000.0,Diesel,manual,1,toyota,toyota innova
2014,300000.0,150000.0,Diesel,manual,1,honda,honda mobilio
2010,700000.0,163000.0,Diesel,manual,1,toyota,toyota innova
2009,90000.0,120000.0,Diesel,manual,1,tata,tata indica
2011,120000.0,120000.0,Diesel,manual,1,tata,tata indica
2012,220000.0,100000.0,Diesel,manual,1,chevrolet,chevrolet beat
2015,300000.0,140000.0,Diesel,manual,1,tata,tata zest
2010,180000.0,87000.0,Diesel,manual,1,skoda,skoda fabia
2013,170000.0,70000.0,Petrol,manual,1,maruti,maruti 800
2015,300000.0,50000.0,Petrol,manual,1,ford,ford figo
2014,1050000.0,70000.0,Diesel,manual,1,toyota,toyota innova
2018,465000.0,25000.0,Diesel,manual,1,hyundai,hyundai grand
2011,130000.0,80000.0,Diesel,manual,1,chevrolet,chevrolet beat
2018,434999.0,10000.0,Petrol,manual,1,datsun,datsun go
2018,500000.0,32000.0,Petrol,manual,1,hyundai,hyundai grand
2018,200000.0,10000.0,Petrol,manual,1,maruti,maruti omni
2017,625000.0,52000.0,Petrol,manual,1,maruti,maruti baleno
2006,110000.0,120000.0,Diesel,manual,1,ford,ford fiesta
2019,800000.0,11240.0,Petrol,manual,1,hyundai,hyundai elite
2017,490000.0,66000.0,Diesel,manual,1,hyundai,hyundai grand
2017,880000.0,64000.0,Diesel,manual,1,maruti,maruti ertiga
2013,290000.0,49000.0,Petrol,manual,1,hyundai,hyundai santro
2006,115999.0,100000.0,Diesel,manual,1,tata,tata sumo
2018,360000.0,26500.0,Petrol,manual,1,renault,renault kwid
2002,65000.0,100000.0,Petrol,manual,1,maruti,maruti 800
2017,685000.0,72000.0,Diesel,manual,1,maruti,maruti vitara
2009,300000.0,50000.0,Petrol,manual,1,honda,honda jazz
2017,680000.0,44000.0,Diesel,manual,1,hyundai,hyundai i20
2017,1000000.0,60000.0,Diesel,manual,1,maruti,maruti ertiga
2002,100000.0,120000.0,Diesel,manual,1,tata,tata sumo
2010,160000.0,130000.0,Diesel,manual,1,mahindra,mahindra xylo
2017,450000.0,70000.0,Diesel,manual,1,maruti,maruti swift
2014,600000.0,20000.0,Petrol,manual,1,maruti,maruti ertiga
2009,180000.0,60000.0,Diesel,manual,1,hyundai,hyundai i20
2007,100000.0,195000.0,Petrol,manual,1,maruti,maruti alto
2010,120000.0,90000.0,Petrol,manual,1,maruti,maruti alto
2006,130000.0,80000.0,Petrol,manual,1,hyundai,hyundai getz
2011,160000.0,155000.0,Petrol,manual,1,maruti,maruti wagon
2019,860000.0,35000.0,Diesel,manual,1,mahindra,mahindra bolero
2018,650000.0,20000.0,Petrol,manual,1,hyundai,hyundai i20
2010,100000.0,80000.0,Petrol,manual,1,maruti,maruti wagon
2017,282000.0,20000.0,Petrol,manual,1,maruti,maruti alto
2009,300000.0,50000.0,Petrol,manual,1,hyundai,hyundai i20
2010,270000.0,110000.0,Petrol,manual,1,hyundai,hyundai i20
2013,550000.0,29000.0,Diesel,manual,1,hyundai,hyundai verna
2013,450000.0,120000.0,Diesel,manual,1,mahindra,mahindra xylo
2011,430000.0,70000.0,Diesel,manual,1,mahindra,mahindra bolero
2013,350000.0,40000.0,Petrol,manual,1,maruti,maruti ertiga
2017,350000.0,20000.0,Petrol,manual,1,honda,honda brio
2013,229999.0,50000.0,Petrol,manual,1,toyota,toyota etios
2013,110000.0,50000.0,Petrol,manual,1,maruti,maruti alto
2012,395000.0,49000.0,Petrol,manual,1,maruti,maruti swift
2011,650000.0,70000.0,Diesel,automatic,1,mahindra,mahindra scorpio
2011,350000.0,90000.0,Diesel,manual,1,mahindra,mahindra bolero
2020,1400000.0,25000.0,Diesel,manual,1,mahindra,mahindra xuv500
2018,360000.0,4000.0,Petrol,manual,1,tata,tata tiago
2018,1300000.0,10000.0,Diesel,manual,1,mahindra,mahindra marazzo
2015,800000.0,15000.0,Diesel,manual,1,renault,renault duster
2018,229999.0,30000.0,Petrol,manual,1,hyundai,hyundai eon
2014,315000.0,41000.0,Petrol,manual,1,maruti,maruti wagon
2012,125000.0,28000.0,Petrol,manual,1,chevrolet,chevrolet spark
2019,700000.0,16000.0,Petrol,manual,1,maruti,maruti baleno
2015,160000.0,70000.0,Petrol,manual,1,hyundai,hyundai eon
2017,530000.0,10832.0,Petrol,manual,1,ford,ford figo
2018,624000.0,14681.0,Diesel,manual,1,ford,ford figo
